id,rating,rank,results1,results2,results3,results4,results5,games,winrate,after_game_period
24,75.0,439.0,1.0,0.0,0.0,1.0,0.0,419.0,0.6539379474940334,58.0
25,80.0,375.0,0.0,0.0,1.0,0.0,1.0,45.0,0.6444444444444445,2.0
26,71.0,423.0,0.0,0.0,1.0,0.0,0.0,140.0,0.5285714285714286,96.0
27,77.0,382.0,0.0,0.0,0.0,1.0,1.0,95.0,0.4842105263157895,1.0
28,80.0,368.0,0.0,0.0,0.0,0.0,0.0,9.0,0.1111111111111111,224.0
29,127.0,268.0,0.0,0.0,1.0,1.0,1.0,149.0,0.5704697986577181,1.0
30,91.0,366.0,0.0,0.0,0.0,0.0,0.0,279.0,0.6523297491039427,245.0
31,448.0,96.0,0.0,1.0,0.0,0.0,0.0,58.0,0.4827586206896552,7.0
32,158.0,222.0,0.0,1.0,0.0,0.0,0.0,21.0,0.3333333333333333,8.0
33,161.0,214.0,0.0,0.0,1.0,1.0,0.0,14.0,0.35714285714285715,114.0
34,611.0,67.0,0.0,1.0,1.0,1.0,0.0,63.0,0.6190476190476191,59.0
35,248.0,173.0,0.0,1.0,1.0,0.0,0.0,274.0,0.5,57.0
36,264.0,181.0,0.0,1.0,0.0,0.0,0.0,367.0,0.5667574931880109,29.0
37,262.0,178.0,0.0,0.0,0.0,1.0,0.0,307.0,0.5537459283387622,13.0
38,395.0,129.0,1.0,0.0,0.0,0.0,0.0,411.0,0.5304136253041363,20.0
39,,,,1.0,0.0,0.0,0.0,4.0,0.25,15.0
40,143.0,249.0,0.0,0.0,0.0,1.0,1.0,134.0,0.4626865671641791,1.0
41,70.0,453.0,0.0,0.0,0.0,0.0,1.0,404.0,0.48267326732673266,1.0
42,600.0,72.0,1.0,0.0,1.0,1.0,0.0,26.0,0.5384615384615384,5.0
43,84.0,373.0,0.0,0.0,1.0,0.0,0.0,322.0,0.5062111801242236,24.0
44,126.0,431.0,0.0,1.0,0.0,1.0,0.0,200.0,0.515,320.0
45,645.0,67.0,0.0,1.0,0.0,0.0,0.0,361.0,0.5290858725761773,72.0
46,158.0,243.0,1.0,0.0,0.0,0.0,1.0,266.0,0.5601503759398496,2.0
47,428.0,131.0,0.0,1.0,1.0,0.0,1.0,592.0,0.5405405405405406,2.0
48,159.0,245.0,0.0,0.0,1.0,1.0,0.0,159.0,0.5471698113207547,118.0
49,60.0,457.0,0.0,1.0,0.0,1.0,0.0,195.0,0.48717948717948717,19.0
50,107.0,381.0,0.0,0.0,0.0,0.0,1.0,374.0,0.5026737967914439,1.0
51,44.0,467.0,,,,,0.0,1.0,0.0,305.0
52,47.0,572.0,1.0,0.0,0.0,0.0,1.0,165.0,0.5272727272727272,30.0
53,98.0,497.0,0.0,1.0,0.0,0.0,1.0,214.0,0.5607476635514018,1.0
54,59.0,476.0,0.0,1.0,0.0,1.0,0.0,304.0,0.4934210526315789,87.0
55,66.0,394.0,,,,,0.0,1.0,0.0,196.0
56,419.0,127.0,1.0,1.0,0.0,1.0,0.0,473.0,0.5200845665961945,12.0
57,155.0,285.0,0.0,1.0,0.0,0.0,1.0,254.0,0.5590551181102362,2.0
58,74.0,388.0,0.0,0.0,0.0,1.0,0.0,59.0,0.3898305084745763,368.0
59,92.0,362.0,1.0,1.0,0.0,0.0,1.0,86.0,0.4069767441860465,1.0
60,,,,,,,,,,
61,,,,,,,,,,
62,196.0,213.0,1.0,0.0,0.0,0.0,0.0,79.0,0.4177215189873418,16.0
63,129.0,266.0,0.0,0.0,1.0,0.0,0.0,7.0,0.14285714285714285,35.0
64,219.0,195.0,1.0,1.0,1.0,1.0,1.0,205.0,0.4975609756097561,4.0
65,92.0,364.0,1.0,0.0,0.0,0.0,0.0,130.0,0.5538461538461539,12.0
66,275.0,157.0,0.0,1.0,0.0,1.0,0.0,237.0,0.5780590717299579,5.0
67,,,,,,,,,,
68,54.0,543.0,1.0,1.0,0.0,0.0,0.0,571.0,0.5306479859894921,59.0
69,92.0,347.0,1.0,0.0,0.0,0.0,1.0,116.0,0.49137931034482757,1.0
70,,,,,,,,,,
71,1010.0,41.0,0.0,1.0,1.0,0.0,0.0,590.0,0.6152542372881356,47.0
72,48.0,604.0,1.0,1.0,0.0,0.0,1.0,662.0,0.527190332326284,109.0
73,46.0,488.0,0.0,0.0,1.0,0.0,0.0,25.0,0.36,27.0
74,139.0,311.0,0.0,0.0,1.0,0.0,1.0,283.0,0.508833922261484,2.0
75,620.0,89.0,1.0,0.0,0.0,1.0,0.0,849.0,0.5724381625441696,9.0
76,215.0,265.0,0.0,0.0,0.0,0.0,0.0,342.0,0.543859649122807,22.0
77,78.0,374.0,1.0,1.0,0.0,0.0,0.0,112.0,0.41964285714285715,9.0
78,470.0,122.0,1.0,0.0,0.0,0.0,0.0,528.0,0.5321969696969697,8.0
79,88.0,414.0,0.0,0.0,1.0,1.0,1.0,336.0,0.5565476190476191,2.0
80,302.0,138.0,1.0,1.0,0.0,0.0,0.0,157.0,0.4840764331210191,15.0
81,,,,,,,,,,
82,,,,,,,,,,
83,210.0,234.0,1.0,1.0,1.0,0.0,0.0,391.0,0.5294117647058824,7.0
84,172.0,288.0,0.0,1.0,1.0,0.0,0.0,822.0,0.6094890510948905,6.0
85,452.0,151.0,1.0,1.0,1.0,0.0,1.0,311.0,0.639871382636656,1.0
